"","log_mass","log_fat"
"Mus musculus",-4.17296578069031,-7.53605148722247
"Apodemus sylvaticus",-4.00222127334629,-7.01868683968942
"Apodemus flavicollis",-3.68718089747835,-7.52858179796246
"Rhabdomys pumilio",-2.99026723412293,-4.96241672182578
"Rattus rattus",-1.8773173575897,-2.57046453814965
"Rattus norvegicus",-1.56110023157218,-3.96762398563889
"Gerbillus perpallidus",-3.50505902119625,-5.61029213156886
"Acomys minous",-3.15895733465696,-6.05760434961253
"Acomys cahirinus",-3.24419363285249,-5.68251033938066
"Oryzomys palustris",-2.78676878581361,-4.84342737511235
"Sigmodon hispidus",-1.74296930505862,-3.65351231027664
"Peromyscus leucopus",-3.93447313426574,-7.31122238442763
"Phodopus sungorus",-3.23145460707506,-4.65952078073817
"Myodes gapperi",-3.99867081215382,-8.87386813535497
"Myodes rutilus",-3.67813735758203,-7.23625934595417
"Myodes glareolus",-4.16756062455336,-7.72873583105197
"Microtus pinetorum",-3.90288984004692,-7.81038968440881
"Microtus pennsylvanicus",-3.46158453167725,-6.72543372218818
"Microtus arvalis",-3.61191841297781,-6.51571319120611
"Microtus agrestis",-4.16727402908606,-7.5810998322459
"Microtus oeconomus",-3.69570267946206,-7.70626297519991
"Arvicola amphibius",-2.78377101164235,-6.36834219836423
"Lemmus trimucronatus",-3.17917445801665,-7.19543735143392
"Ondatra zibethicus",-0.184523980349155,-3.09004295302523
"Jaculus jaculus",-3.03822232517494,-5.74773436218538
"Castor fiber",2.7448995149659,0.725482222566461
"Castor canadensis",3.30775323750763,1.99823148625429
"Octodon degus",-2.04515606371329,-4.39086558334109
"Erethizon dorsatum",1.67503836951805,-4.99969535405792
"Cuniculus paca",0.447885823992117,-1.62709284767282
"Dasyprocta leporina",0.740507751919783,-1.33408148967296
"Dasyprocta punctata",1.22377543162212,-2.24248672727312
"Dasyprocta azarae",1.41098697371026,-2.83117490308943
"Cavia porcellus",-0.0998203352822109,-2.0715527402596
"Dolichotis patagonum",2.13179677201376,-1.21583791720471
"Hydrochoerus hydrochaeris",3.52636052461616,0.504751614262291
"Hystrix indica",2.42036812865043,-0.958881998967805
"Marmota caligata",1.26919858924364,-0.289016295464918
"Marmota monax",0.785726361853038,-0.622688716911384
"Urocitellus undulatus",-0.736054681571222,-3.86323284125871
"Callospermophilus lateralis",-1.35867919408692,-2.43748885545885
"Tamias minimus",-2.80181158091668,-6.83079423784601
"Tamias striatus",-2.26364037946362,-5.66158542595641
"Glaucomys volans",-2.89860556282327,-6.84446785263738
"Sciurus vulgaris",-1.29261277948921,-5.89569629041871
"Sciurus carolinensis",-0.591151625035591,-3.13556099565887
"Sciurus niger",-0.885761526839332,-4.51899248974704
"Tamiasciurus hudsonicus",-1.71674476542261,-5.59942245933196
"Glis glis",-2.48402699679616,-3.98244546972469
"Lepus europaeus",1.20558150966535,-1.94911528000426
"Sylvilagus floridanus",-0.0286934477687513,-4.31571468698717
"Oryctolagus cuniculus",1.14262917408488,-0.344591105624967
"Ochotona collaris",-2.11279152136139,-4.96184512992682
"Tupaia glis",-1.96041483525819,-5.79494098458092
"Trachypithecus vetulus",1.6094379124341,0.11685994307082
"Colobus guereza",2.27726728500976,-1.66907592735722
"Chlorocebus pygerythrus",1.66770682055808,-1.42919768677454
"Mandrillus sphinx",3.13549421592915,0.84676914921551
"Papio hamadryas",3.14630513203337,0.00680380155948486
"Theropithecus gelada",2.43361335540045,-0.772836050841316
"Macaca nigra",1.7227665977411,-1.10112203544947
"Macaca arctoides",2.76422068265328,0.518260913364571
"Homo sapiens",4.32413265625498,2.46809953147162
"Symphalangus syndactylus",2.14006616349627,-0.533415872872004
"Nomascus concolor",1.87946504964716,-2.59925328663191
"Saguinus oedipus",-0.471604910612709,-2.76144749682273
"Callithrix jacchus",-1.39110591811711,-4.94002912467453
"Callithrix pygmaea",-1.81400507817537,-3.8189890506231
"Leontopithecus chrysomelas",-0.443686268980311,-2.89134036684639
"Saimiri sciureus",-1.39836694235416,-3.51863047855425
"Saimiri boliviensis",0.00299550897979837,-4.09942846337558
"Sapajus apella",0.559615787935423,-1.73896362423525
"Alouatta sara",1.48160454092422,-2.59971337405663
"Cheirogaleus medius",-1.46533756846034,-4.26255400496354
"Lemur catta",0.729961153682662,-1.55969534480201
"Varecia rubra",1.43508452528932,0.0627672658907596
"Cervus elaphus",5.29621515845617,2.99363006546212
"Pudu puda",2.55722731136763,0.939664230914238
"Rangifer tarandus",4.8793109878732,2.71648783725432
"Capreolus capreolus",2.99573227355399,0.495378935576964
"Hydropotes inermis",2.11625551480255,-0.558764900043222
"Ovis aries",4.01638302075239,0.915290231540572
"Oryx beisa",4.34523297384487,1.67736456237549
"Connochaetes taurinus",5.61677109766657,2.87568104248616
"Gazella gazella",2.70805020110221,-1.21123544691787
"Bos indicus",6.63301575589925,4.14410108471371
"Bos taurus",6.30581897847558,4.75056838867745
"Phocoena phocoena",10.3078487799254,9.19661237200059
"Balaenoptera acutorostrata",11.1776214790583,9.40121660463166
"Balaenoptera physalus",11.0372682683875,9.60499672651403
"Balaenoptera musculus",11.3621025752356,10.3766113091181
"Balaenoptera borealis",11.3548549793992,9.53024765127244
"Balaena mysticetus",9.80885864061613,8.82040771741705
"Sus scrofa",4.85203026391962,3.68084728241667
"Camelus dromedarius",6.09699504831745,4.48755713588335
"Equus caballus",6.4150969591716,4.82028156560504
"Eptesicus fuscus",-4.02407250923677,-6.4956456281553
"Lasionycteris noctivagans",-4.21664779861024,-5.50706503757851
"Nyctalus noctula",-3.66373153055919,-6.27294349875673
"Lasiurus borealis",-4.30447317645882,-5.81919332616753
"Molossus ater",-4.50351653226159,-8.42188301161191
"Artibeus jamaicensis",-3.20719432009436,-5.5753892598878
"Artibeus lituratus",-2.75435595397872,-5.07998537223105
"Platyrrhinus lineatus",-3.81535011816789,-6.44590983743787
"Sturnira lilium",-4.17403733113135,-6.72044618067714
"Phyllostomus hastatus",-2.38314460085246,-5.21950618612375
"Phyllostomus discolor",-3.37057118812039,-6.04065479129875
"Glossophaga soricina",-4.9309003260774,-8.29404964010203
"Martes pennanti",1.56653041142282,-1.80241604941658
"Martes martes",0.472084587549331,-2.76063643624069
"Martes foina",0.341005517188855,-3.15014462094655
"Meles meles",2.2230006136512,0.23084978189844
"Lutrogale perspicillata",1.62924053973028,-1.72735583218693
"Aonyx cinereus",0.98394938034797,-1.76933850805584
"Lutra lutra",1.67241271159549,-0.765054007780823
"Lontra canadensis",2.06686275947298,-1.11010851780654
"Mustela nivalis",-3.43083218679185,-6.57845153183954
"Mustela putorius",-0.390576495614414,-2.35096649071986
"Mustela erminea",-1.50927588553512,-5.44914025628262
"Neovison vison",0.031498667059371,-2.71810053695571
"Procyon lotor",1.79840401194672,0.0129162252665462
"Potos flavus",1.36609165380237,-0.151951433277105
"Mephitis mephitis",0.371011680038785,-1.10370523573412
"Pusa hispida",10.3296047058411,9.54835606328673
"Halichoerus grypus",9.48421171076905,8.41968739393988
"Erignathus barbatus",10.7841873378206,9.8437961828232
"Lobodon carcinophaga",5.51937875165792,3.95873100339325
"Mirounga leonina",7.69411498626425,6.43884888755076
"Zalophus californianus",3.52636052461616,-0.373859179359674
"Odobenus rosmarus",10.9009341814893,9.69835578326449
"Cuon alpinus",2.99573227355399,1.27139179791659
"Vulpes corsac",0.729961153682662,-1.13383654231469
"Helogale parvula",-1.34592046698162,-4.25771138048775
"Proteles cristata",1.68639895357023,-1.8478112250517
"Chrotogale owstoni",0.672944473242426,-2.98310454004527
"Arctictis binturong",2.33214389523559,-1.06313810422782
"Felis silvestris",0.944903455656613,-1.94210340391248
"Felis catus",0.978326122793608,-1.27801411203511
"Felis chaus",2.28238238567653,0.228533797798367
"Prionailurus viverrinus",1.98787434815435,-0.0436175651557233
"Puma yagouaroundi",1.77495235091167,0.244055367154843
"Lynx lynx",2.86220088092947,1.5346244915099
"Lynx canadensis",2.03966067166799,0.113328685307003
"Lynx rufus",1.81677723220334,-0.303811454381665
"Leopardus geoffroyi",1.1314021114911,-0.509003285233952
"Crocidura russula",-4.65166302104,-7.43296891556281
"Blarina brevicauda",-4.13830271936341,-7.44219076838726
"Sorex cinereus",-5.59403161069708,-8.74033674273045
"Sorex araneus",-4.89151981320609,-8.07893826048508
"Talpa europaea",-2.96912929175946,-6.37043184370993
"Scalopus aquaticus",-3.10912496090908,-6.70074110959781
"Erinaceus europaeus",-0.198635915180522,-2.51137383600317
"Euphractus sexcinctus",0.899754763234056,-1.37753285545132
"Potorous tridactylus",-0.211956361923645,-4.70384752832684
"Notamacropus agilis",2.04122032885964,-2.39374360291877
"Trichosurus vulpecula",0.438254930931155,-3.55974491349186
"Didelphis marsupialis",0.344298672870677,-2.23492644452023
"Didelphis virginiana",0.968313759941307,-1.45682412731042
